,ticker,cik,company,sic,sic_desc,form,filing_date,report_date,acceptance_datetime,accession,doc_url,n_words,n_distinct,text_path,accession_clean,calendar_quarter,acceptance_et,acceptance_effective_date,day0_candidate,day0,day_minus1,price_day_minus1,n_pre_returns,n_post_returns,negative_prop,negative_tfidf,positive_prop,positive_tfidf,uncertainty_prop,uncertainty_tfidf,pre_vol,post_vol,n_pre,n_post
20,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2022-11-02,2022-09-24,2022-11-02 20:35:10+00:00,0000002488-22-000170,https://www.sec.gov/Archives/edgar/data/2488/000000248822000170/amd-20220924.htm,24655,2527,data/interim/text/000000248822000170.txt.gz,248822000170,2022Q4,2022-11-02 16:35:10-04:00,2022-11-03,2022-11-03,2022-11-03,2022-11-02,58.630001068115234,547,851,0.03467856418576354,97.6792064874479,0.007341310079091462,17.20848914994689,0.02818900831474346,17.673247680250515,0.5462286903902522,0.6258193520563226,55.0,60.0
21,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-K,2023-02-27,2022-12-31,2023-02-27 21:20:39+00:00,0000002488-23-000047,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm,40302,3586,data/interim/text/000000248823000047.txt.gz,248823000047,2023Q1,2023-02-27 16:20:39-05:00,2023-02-28,2023-02-28,2023-02-28,2023-02-27,78.7699966430664,625,773,0.02359684382909037,109.54228607133861,0.0073693613220187585,35.19811135202159,0.020668949431789985,20.55194729847689,0.5541289979261025,0.5017930674476297,55.0,60.0
22,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2023-05-03,2023-04-01,2023-05-03 20:28:42+00:00,0000002488-23-000076,https://www.sec.gov/Archives/edgar/data/2488/000000248823000076/amd-20230401.htm,22403,2448,data/interim/text/000000248823000076.txt.gz,248823000076,2023Q2,2023-05-03 16:28:42-04:00,2023-05-04,2023-05-04,2023-05-04,2023-05-03,81.62000274658203,671,727,0.036780788287282956,96.39663254189675,0.00758826942820158,17.202815175146885,0.029817435164933268,16.16522114415727,0.3974853279495494,0.49048134811840166,55.0,60.0
23,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2023-08-02,2023-07-01,2023-08-02 21:12:01+00:00,0000002488-23-000139,https://www.sec.gov/Archives/edgar/data/2488/000000248823000139/amd-20230701.htm,22671,2419,data/interim/text/000000248823000139.txt.gz,248823000139,2023Q3,2023-08-02 17:12:01-04:00,2023-08-03,2023-08-03,2023-08-03,2023-08-02,109.3499984741211,733,665,0.03555202681840237,94.92930455225627,0.007410348021701734,17.644705870210075,0.029067972299413346,16.00521764955841,0.49059523675597627,0.4446369695882855,55.0,60.0
24,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2023-11-01,2023-09-30,2023-11-01 20:20:28+00:00,0000002488-23-000195,https://www.sec.gov/Archives/edgar/data/2488/000000248823000195/amd-20230930.htm,23459,2547,data/interim/text/000000248823000195.txt.gz,248823000195,2023Q4,2023-11-01 16:20:28-04:00,2023-11-02,2023-11-02,2023-11-02,2023-11-01,108.04000091552734,797,601,0.03444307088963724,100.87949180849148,0.007331940832942581,17.787626863288732,0.028475212072125836,15.697656041455858,0.40094827273195977,0.45451228337148797,55.0,60.0
25,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-K,2024-01-31,2023-12-30,2024-01-31 22:16:39+00:00,0000002488-24-000012,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/amd-20231230.htm,43126,3803,data/interim/text/000000248824000012.txt.gz,248824000012,2024Q1,2024-01-31 17:16:39-05:00,2024-02-01,2024-02-01,2024-02-01,2024-01-31,167.69000244140625,858,540,0.023721189073876547,123.51386719393331,0.0070954876408662985,36.43784375300601,0.020892269164772992,21.177007247784104,0.45384387226282863,0.5341584351760986,55.0,60.0
26,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2024-05-01,2024-03-30,2024-05-01 20:10:44+00:00,0000002488-24-000056,https://www.sec.gov/Archives/edgar/data/2488/000000248824000056/amd-20240330.htm,23025,2511,data/interim/text/000000248824000056.txt.gz,248824000056,2024Q2,2024-05-01 16:10:44-04:00,2024-05-02,2024-05-02,2024-05-02,2024-05-01,144.27000427246094,921,477,0.03700325732899023,109.06948727003575,0.006775244299674267,15.545426694576555,0.03009771986970684,17.216095117790463,0.5238639657881531,0.46823544091906777,55.0,60.0
27,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2024-07-31,2024-06-29,2024-07-31 20:20:22+00:00,0000002488-24-000123,https://www.sec.gov/Archives/edgar/data/2488/000000248824000123/amd-20240629.htm,23484,2524,data/interim/text/000000248824000123.txt.gz,248824000123,2024Q3,2024-07-31 16:20:22-04:00,2024-08-01,2024-08-01,2024-08-01,2024-07-31,144.47999572753906,983,415,0.036578095724748766,110.05911711162517,0.0067279850110713675,15.694991215841767,0.029679781979219895,16.951609381750472,0.4425998411805346,0.48720041282644544,55.0,60.0
28,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2024-10-30,2024-09-28,2024-10-30 20:26:03+00:00,0000002488-24-000163,https://www.sec.gov/Archives/edgar/data/2488/000000248824000163/amd-20240928.htm,24484,2567,data/interim/text/000000248824000163.txt.gz,248824000163,2024Q4,2024-10-30 16:26:03-04:00,2024-10-31,2024-10-31,2024-10-31,2024-10-30,148.60000610351562,1047,351,0.03557425257310897,113.92701609107438,0.006943309916680281,16.657298705748122,0.02944780264662637,16.609388157013473,0.4409394528737955,0.38629632402755615,55.0,60.0
29,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-K,2025-02-05,2024-12-28,2025-02-05 21:42:57+00:00,0000002488-25-000012,https://www.sec.gov/Archives/edgar/data/2488/000000248825000012/amd-20241228.htm,40833,3663,data/interim/text/000000248825000012.txt.gz,248825000012,2025Q1,2025-02-05 16:42:57-05:00,2025-02-06,2025-02-06,2025-02-06,2025-02-05,112.01000213623048,1112,286,0.02488183577008792,125.12854775362382,0.006881688830112899,31.064042567422646,0.021624666323806725,20.342379829720326,0.38013271005839644,0.7248202323118341,55.0,60.0
