,ticker,cik,company,sic,sic_desc,form,filing_date,report_date,acceptance_datetime,accession,doc_url,n_words,n_distinct,text_path,accession_clean,calendar_quarter,acceptance_et,acceptance_effective_date,day0_candidate,day0,day_minus1,price_day_minus1,n_pre_returns,n_post_returns
692,ADPT,1478320,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",10-Q,2022-05-04,2022-03-31,2022-05-04 20:22:28+00:00,0001564590-22-017870,https://www.sec.gov/Archives/edgar/data/1478320/000156459022017870/adpt-10q_20220331.htm,7434,1230,data/interim/text/000156459022017870.txt.gz,000156459022017870,2022Q2,2022-05-04 16:22:28-04:00,2022-05-05,2022-05-05,2022-05-05,2022-05-04,9.25,421,977
693,ADPT,1478320,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",10-Q,2022-08-03,2022-06-30,2022-08-03 20:31:15+00:00,0001564590-22-027784,https://www.sec.gov/Archives/edgar/data/1478320/000156459022027784/adpt-10q_20220630.htm,8047,1224,data/interim/text/000156459022027784.txt.gz,000156459022027784,2022Q3,2022-08-03 16:31:15-04:00,2022-08-04,2022-08-04,2022-08-04,2022-08-03,9.890000343322754,483,915
694,ADPT,1478320,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",10-Q,2022-11-03,2022-09-30,2022-11-03 20:31:19+00:00,0000950170-22-021923,https://www.sec.gov/Archives/edgar/data/1478320/000095017022021923/adpt-20220930.htm,9585,1384,data/interim/text/000095017022021923.txt.gz,000095017022021923,2022Q4,2022-11-03 16:31:19-04:00,2022-11-04,2022-11-04,2022-11-04,2022-11-03,7.78000020980835,548,850
695,ADPT,1478320,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",10-K,2023-02-14,2022-12-31,2023-02-14 21:32:14+00:00,0000950170-23-002792,https://www.sec.gov/Archives/edgar/data/1478320/000095017023002792/adpt-20221231.htm,70729,4896,data/interim/text/000095017023002792.txt.gz,000095017023002792,2023Q1,2023-02-14 16:32:14-05:00,2023-02-15,2023-02-15,2023-02-15,2023-02-14,8.680000305175781,617,781
696,ADPT,1478320,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",10-Q,2023-05-03,2023-03-31,2023-05-03 20:32:35+00:00,0000950170-23-017250,https://www.sec.gov/Archives/edgar/data/1478320/000095017023017250/adpt-20230331.htm,7529,1271,data/interim/text/000095017023017250.txt.gz,000095017023017250,2023Q2,2023-05-03 16:32:35-04:00,2023-05-04,2023-05-04,2023-05-04,2023-05-03,7.5,671,727
697,ADPT,1478320,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",10-Q,2023-08-02,2023-06-30,2023-08-02 20:31:38+00:00,0000950170-23-037234,https://www.sec.gov/Archives/edgar/data/1478320/000095017023037234/adpt-20230630.htm,8367,1280,data/interim/text/000095017023037234.txt.gz,000095017023037234,2023Q3,2023-08-02 16:31:38-04:00,2023-08-03,2023-08-03,2023-08-03,2023-08-02,7.960000038146973,733,665
698,ADPT,1478320,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",10-Q,2023-11-09,2023-09-30,2023-11-09 21:30:32+00:00,0000950170-23-062136,https://www.sec.gov/Archives/edgar/data/1478320/000095017023062136/adpt-20230930.htm,8352,1283,data/interim/text/000095017023062136.txt.gz,000095017023062136,2023Q4,2023-11-09 16:30:32-05:00,2023-11-10,2023-11-10,2023-11-10,2023-11-09,4.289999961853027,803,595
699,ADPT,1478320,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",10-K,2024-02-29,2023-12-31,2024-02-29 21:15:41+00:00,0000950170-24-023095,https://www.sec.gov/Archives/edgar/data/1478320/000095017024023095/adpt-20231231.htm,62430,4616,data/interim/text/000095017024023095.txt.gz,000095017024023095,2024Q1,2024-02-29 16:15:41-05:00,2024-03-01,2024-03-01,2024-03-01,2024-02-29,4.110000133514404,878,520
700,ADPT,1478320,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",10-Q,2024-05-07,2024-03-31,2024-05-07 20:30:43+00:00,0000950170-24-054604,https://www.sec.gov/Archives/edgar/data/1478320/000095017024054604/adpt-20240331.htm,7771,1270,data/interim/text/000095017024054604.txt.gz,000095017024054604,2024Q2,2024-05-07 16:30:43-04:00,2024-05-08,2024-05-08,2024-05-08,2024-05-07,3.109999895095825,925,473
701,ADPT,1478320,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",10-Q,2024-08-01,2024-06-30,2024-08-01 20:30:28+00:00,0000950170-24-089342,https://www.sec.gov/Archives/edgar/data/1478320/000095017024089342/adpt-20240630.htm,8944,1302,data/interim/text/000095017024089342.txt.gz,000095017024089342,2024Q3,2024-08-01 16:30:28-04:00,2024-08-02,2024-08-02,2024-08-02,2024-08-01,4.449999809265137,984,414
